Name,NOccurence
John,490800
Joseph,456238
Peter,416503
Brian,389952
David,356469
James,329852
Samuel,272451
Daniel,265581
Stephen,264415
Kelvin,245394
Ibrahim,232433
Mohamed,223502
Emmanuel,212279
Paul,210272
Victor,203974
Moses,195204
Kevin,192815
Michael,182475
Charles,166156
Vincent,163915
Alex,156880
Simon,155493
George,152422
Patrick,150667
Evans,138320
Collins,137905
Kennedy,130663
Isaac,125320
Edwin,123545
Ali,121292
Erick,120533
Felix,118748
Joshua,115901
Abdi,115282
Martin,114350
Robert,110964
Amos,110094
Hassan,106317
Julius,104644
Benson,103811
Fredrick,100138
Nicholas,99201
Jackson,98482
Ian,96700
Eric,96221
Richard,93359
Antony,91906
William,88853
Philip,81741
Samson,79701
Ahmed,75398
Joel,74574
Wilson,73566
Thomas,73505
Hussein,72565
Geoffrey,69326
Jacob,67738
Andrew,67475
Gideon,66724
Benjamin,66184
Mark,65934
Timothy,65880
Adan,65530
Sammy,64584
Dominic,64194
Salim,62014
Titus,60530
Henry,60177
Anthony,59066
Edward,58016
Allan,56441
Stanley,55368
Gilbert,55312
Ismail,54797
Christopher,54686
Omar,53500
Nelson,52389
Alfred,52176
Clinton,52115
Kenneth,51831
Elvis,51209
Duncan,49317
Suleiman,49200
Rashid,49141
Dickson,48191
Lawrence,46793
Solomon,45914
Caleb,45765
Abraham,44233
Jeremiah,44175
Gabriel,42357
Raphael,41401
Reuben,39770
Derrick,39671
Ezekiel,39297
Ronald,37994
Bernard,37200
Lewis,37002
Leonard,36683
Silas,36425
Festus,36062
Jonathan,35856
Godfrey,35287
Said,35027
Rael,34545
Douglas,34391
Eliud,33214
Pius,32584
Morris,32298
Elias,32259
Musa,32097
Mathew,32055
Fred,31192
Isaiah,30171
Harrison,29925
Newton,29574
Osman,29342
Mohammed,29043
Yusuf,28715
Issa,28142
Albert,27944
Jared,27731
Job,27601
Derick,26930
Johnson,26726
Oscar,26382
Wilfred,25987
Abubakar,24676
Aron,24438
Melvin,24028
Walter,23926
Tonny,23452
Zakaria,23190
Wesley,23155
Haron,23067
Daud,22894
Tom,22514
Mike,22421
Alvin,22318
Steven,22276
Ezra,22046
Abel,21600
Davis,21566
Maurice,21521
Gerald,21120
Ken,20951
Maxwell,20360
Austine,20219
Yahya,19508
Oliver,19204
Steve,19142
Nathan,18790
Harun,18742
Augustine,18651
Alexander,18624
Eugene,18475
Ayub,18201
Tony,18166
Cornelius,18135
Abdalla,17875
Bakari,17780
Chris,17504
Benedict,16454
Raymond,16282
Lucas,16257
Simion,16077
Ernest,15990
Calvin,15369
Linus,15163
Arnold,15006
Robinson,14934
Ismael,14732
Sylvester,14603
Idris,14280
Teddy,14031
Clement,13905
Khalid,13729
Anderson,13354
Abass,13341
Jeff,13273
Billy,13179
Adam,12990
Jack,12978
Frank,12878
Fidelis,12852
Jamal,12819
Roy,12703
Kassim,12542
Tobias,12474
Nicodemus,12021
Hamza,11740
Godwin,11645
Shaban,11596
Jimmy,11409
Abdul,11090
Mustafa,10524
Terry,10488
Keith,10382
Hamdi,10254
Gregory,10198
Lucky,10039
Jesse,9895
Luka,9891
Pascal,9837
Farhan,9833
Emanuel,9712
Ryan,9611
Abdallah,9326
Bashir,9302
Franklin,9179
Gordon,8768
Innocent,8671
Amin,8652
Donald,8618
Justin,8611
Milton,8569
Obed,8530
Owen,8524
Zachary,8516
Fidel,8490
Seth,8484
Carlos,8463
Luke,8227
Micheal,8200
Aaron,7931
Amran,7850
Phillip,7849
Ronny,7696
Nixon,7676
Brandon,7534
Marvin,7504
Simeon,7504
Bryan,7410
Mathias,7075
Joe,6997
Sam,6901
Rogers,6812
Abdulrahman,6775
Clifford,6724
Edgar,6682
Washington,6673
Jones,6529
Bill,6487
Jason,6483
Levi,6462
Bruce,6384
Zakariya,6345
Austin,6240
Ekai,6160
Sheikh,6053
Desmond,5997
Jabir,5980
Arthur,5962
Brayan,5876
Tito,5763
Edmond,5693
Leon,5681
Nick,5653
Trevor,5422
Bob,5390
Byron,5373
Mitchel,5354
Adrian,5259
Fabian,5136
Yasin,5062
Bosco,5043
Sidi,5004
Junior,4980
Lukas,4940
Norman,4936
Imran,4917
Salah,4916
Flavian,4913
Wayne,4858
Mahamed,4779
Ben,4682
Evan,4673
Sunday,4663
Jefferson,4598
Bilal,4595
Mitchell,4512
Jeremy,4430
Jerry,4376
Hudson,4319
Julian,4284
Bruno,4274
Yassin,4233
Khamis,4181
Rodney,4116
Jim,4075
Abdullah,4032
Darius,3972
Basil,3931
Warren,3846
Nathaniel,3842
Amir,3763
Abdulaziz,3758
Elvin,3677
Nassir,3654
Herman,3543
Adams,3524
Sebastian,3519
Edin,3440
Glen,3433
Matthew,3408
Hani,3401
Fathi,3302
Ole,3284
Prince,3192
Nima,3176
Sadik,3169
Alan,3110
Larry,3102
Harry,3081
Luqman,3020
Bradley,3005
Isaak,2945
Bismark,2894
Hamadi,2891
Nicolas,2858
Fuad,2852
Ivan,2847
Angel,2841
Ray,2777
Christian,2738
Wallace,2701
Haji,2699
Esau,2679
Marko,2657
Ferdinand,2588
Salimu,2582
Jude,2563
Petro,2543
Reinhard,2537
Anwar,2536
Lincoln,2527
Osama,2507
Herbert,2461
Merab,2394
Chaka,2388
Fahad,2347
Saul,2339
Jasper,2322
Israel,2316
Arafat,2308
Joakim,2298
Abbas,2291
Rob,2260
Lazaro,2248
Muhammad,2246
