County_Code,Name,Population_2023,Percentage_of_Total
1,Mombasa,1311860,2.55
2,Kwale,944464,1.84
3,Kilifi,1577335,3.07
4,Tana River,352549,0.68
5,Lamu,167332,0.33
6,Taita Taveta,363990,0.71
7,Garissa,927031,1.80
8,Wajir,870636,1.69
9,Mandera,959236,1.86
10,Marsabit,515292,1.00
11,Isiolo,315937,0.61
12,Meru,1625982,3.16
13,Tharaka Nithi,416383,0.81
14,Embu,648425,1.26
15,Kitui,1229790,2.39
16,Machakos,1487758,2.89
17,Makueni,1042300,2.03
18,Nyandarua,695531,1.35
19,Nyeri,835408,1.62
20,Kirinyaga,653112,1.27
21,Muranga,1112288,2.16
22,Kiambu,2652880,5.15
23,Turkana,1022773,1.99
24,West Pokot,676326,1.32
25,Samburu,348298,0.68
26,Trans Nzoia,1069039,2.08
27,Uasin Gishu,1257330,2.45
28,Elgeyo Marakwet,495239,0.96
29,Nandi,951460,1.85
30,Baringo,733333,1.42
31,Laikipia,561223,1.09
32,Nakuru,2347849,4.56
33,Narok,1284204,2.50
34,Kajiado,1268261,2.47
35,Kericho,954896,1.86
36,Bomet,939761,1.83
37,Kakamega,2002435,3.89
38,Vihiga,625765,1.22
39,Bungoma,1786973,3.47
40,Busia,968763,1.88
41,Siaya,1059458,2.06
42,Kisumu,1248474,2.43
43,Homa Bay,1231659,2.39
44,Migori,1234082,2.40
45,Kisii,1344907,2.61
46,Nyamira,657502,1.28
47,Nairobi,4750056,9.24
