Name,NOccurence
Mary,447377
Faith,443001
Mercy,438187
Sharon,298224
Esther,291765
Elizabeth,229070
Dennis,223120
Jane,212865
Grace,210006
Ruth,198406
Lucy,193598
Caroline,191467
Francis,180580
Christine,167759
Nancy,163477
Margaret,162411
Ann,160312
Lilian,152910
Joyce,149379
Eunice,147616
Susan,145430
Rose,141232
Beatrice,135902
Diana,133770
Cynthia,130684
Catherine,122731
Brenda,121032
Sarah,117198
Naomi,116619
Irene,116603
Alice,114969
Denis,107297
Gladys,106540
Agnes,105566
Vivian,105457
Lydia,102915
Dorcas,101970
Joan,101047
Hellen,98216
Janet,97210
Maina,94336
Pauline,93527
Florence,91328
Sheila,87395
Maureen,87002
Winnie,81262
Joy,75164
Emily,73088
Miriam,72213
Halima,67932
Hillary,67887
Judith,67810
Damaris,67197
Charity,65354
Linet,64265
Amina,62490
Leah,62466
Anne,61313
Martha,60905
Josephine,60498
Sylvia,59388
Yvonne,54926
Daisy,54135
Nelly,53963
Betty,51573
Stella,51561
Doreen,51059
Salome,51024
Veronica,51013
Judy,50912
Monica,49086
Rebecca,48295
Caren,48071
Hannah,47940
Valentine,47677
Juliet,46588
Marion,45333
Gloria,45197
Irine,44767
Violet,43378
Rosemary,41664
Dorothy,41069
Jacinta,40725
Mariam,40666
Linda,37019
Regina,36803
Rachael,36595
Cecilia,36585
Asha,35408
Patricia,33129
Teresa,32757
Doris,32175
Pamela,32120
Mildred,32090
Edith,31780
Victoria,30111
Khadija,29050
Beth,28806
Margret,28420
Virginia,28256
Deborah,28038
Sophia,27152
Ivy,27082
Beryl,26527
Anna,26253
Silvia,26137
Aisha,26008
Maria,25010
Naomy,23694
Julia,23646
Angela,23585
Sandra,23255
Stacy,22873
Hilda,22685
Belinda,22335
Tracy,22133
Viola,22117
Habiba,22095
Milka,22085
Emma,22039
Rahma,21891
Roseline,20952
Maryan,20944
Glory,20787
Noah,20546
Norah,20035
Nasra,19823
Harriet,19582
Noor,19332
Justine,19241
Michelle,18859
Selina,18273
Karen,17529
Dan,17527
Rachel,17413
Salma,17062
Priscilla,16960
Phoebe,16903
Rhoda,16473
Racheal,16227
Jeniffer,16179
Najma,16073
Juliana,15578
Patience,15569
Roselyne,15370
Laura,15296
Sabina,14713
Prisca,14549
Charo,14515
Clare,14465
Naima,14255
Willy,14231
Wendy,14166
Dinah,14110
Sally,13952
Edna,13836
Fatma,13812
Sahara,13520
Lucia,13260
Carol,13148
Sofia,13143
Zeinab,13010
Yasmin,12988
Nicole,12802
Emilly,12672
Noel,12588
Angeline,12438
Anita,12343
Amani,12263
Elly,12091
Lorna,12012
Magdalene,11836
Morgan,11805
Annet,11787
Francisca,11739
Saadia,11588
Hawa,11477
Rita,11445
Hafsa,11253
Farah,11142
Ashley,11042
Jennifer,10998
Eva,10525
Rama,10488
Leila,10350
Hope,10224
Vicky,9898
Fiona,9623
June,9567
Evelyne,9485
Samira,9479
Jael,9380
Kelly,9344
Emmy,9337
Sila,9267
Zainab,9248
Safia,9152
Frida,9070
Robin,8961
Gift,8831
Anastacia,8831
Janeth,8756
Claire,8557
Clara,8505
Lynn,8455
Lillian,8454
Precious,8172
Flora,8139
Bridget,8123
Stephanie,8100
Debora,7944
Brigid,7901
Phyllis,7690
Farida,7223
Maimuna,7205
Jamila,7204
Natasha,7126
Saida,7047
Yvone,7021
Faiza,6796
Maryam,6742
Philomena,6692
Sara,6656
Ivone,6592
Eddy,6520
Olivia,6456
Nuria,6447
Evelyn,6442
Johana,6391
Jemima,6311
Iqra,6310
Tecla,6300
Abigail,6195
Isabella,6191
Lily,6174
Salina,6169
Cathrine,5867
Hilary,5828
Debra,5815
Melody,5812
Vanessa,5629
Sydney,5622
Sadia,5545
Helen,5475
Constance,5413
Cindy,5341
Georgina,5280
Olive,5173
Joice,5167
Yusra,5094
Elsie,5048
Sophie,5002
Happy,4943
Molly,4932
Anastasia,4864
Madina,4822
Agatha,4799
Jacqueline,4773
Audrey,4725
Lena,4703
Samantha,4701
Vera,4684
Ester,4650
Baya,4645
Ivon,4598
Paulina,4564
Lina,4544
Emelda,4520
Ivonne,4470
Salama,4468
Blessing,4459
Ikran,4422
Sheryl,4404
Agneta,4359
Hamida,4327
Edina,4287
Shamim,4249
Jenifer,4232
Claudia,4226
Brigit,4188
Asma,4136
Lee,4085
Priscila,3991
Queen,3979
Anisa,3961
Lisa,3951
Celine,3908
Janice,3865
Maryline,3862
Bernice,3814
Dina,3807
Nur,3757
Imelda,3743
Shirley,3741
Matilda,3716
Masha,3642
Chelsea,3635
Salima,3616
Marwa,3601
Julie,3591
Stacey,3578
Valerie,3568
Lenny,3481
Hanifa,3467
Fauzia,3467
Petronila,3444
Leonida,3439
Hakima,3398
Florida,3366
Daina,3349
Elina,3234
Angelina,3221
Zena,3208
Marian,3195
Rosa,3193
Delphine,3163
Jessica,3160
Eliza,3158
Lynne,3088
Melisa,3079
Eli,3072
Becky,3064
Ismahan,3061
Pili,2998
Annette,2987
Perpetua,2923
Aurelia,2876
Christina,2850
Elsy,2838
Zahra,2817
Sidney,2809
Evangeline,2799
Barbara,2774
Liz,2771
Maroa,2761
Theresia,2755
Yohana,2735
Gillian,2735
Asia,2713
Mishel,2711
Peace,2675
Mati,2664
Tina,2641
Kheira,2621
Jean,2605
Fozia,2575
Leyla,2545
Kate,2542
Natalie,2539
Cheryl,2519
