county_code,constituency_code,constituency_name
1,1,CHANGAMWE
1,2,JOMVU
1,3,KISAUNI
1,4,NYALI
1,5,LIKONI
1,6,MVITA
2,7,MSAMBWENI
2,8,LUNGALUNGA
2,9,MATUGA
2,10,KINANGO
3,11,KILIFI NORTH
3,12,KILIFI SOUTH
3,13,KALOLENI
3,14,RABAI
3,15,GANZE
3,16,MALINDI
3,17,MAGARINI
4,18,GARSEN
4,19,GALOLE
4,20,BURA
5,21,LAMU EAST
5,22,LAMU WEST
6,23,TAVETA
6,24,WUNDANYI
6,25,MWATATE
6,26,VOI
7,27,GARISSA TOWNSHIP
7,28,BALAMBALA
7,29,LAGDERA
7,30,DADAAB
7,31,FAFI
7,32,IJARA
8,33,WAJIR NORTH
8,34,WAJIR EAST
8,35,TARBAJ
8,36,WAJIR WEST
8,37,ELDAS
8,38,WAJIR SOUTH
9,39,MANDERA WEST
9,40,BANISSA
9,41,MANDERA NORTH
9,42,MANDERA SOUTH
9,43,MANDERA EAST
9,44,LAFEY
10,45,MOYALE
10,46,NORTH HORR
10,47,SAKU
10,48,LAISAMIS
11,49,ISIOLO NORTH
11,50,ISIOLO SOUTH
12,51,IGEMBE SOUTH
12,52,IGEMBE CENTRAL
12,53,IGEMBE NORTH
12,54,TIGANIA WEST
12,55,TIGANIA EAST
12,56,NORTH IMENTI
12,57,BUURI
12,58,CENTRAL IMENTI
12,59,SOUTH IMENTI
13,60,MAARA
13,61,CHUKA/IGAMBANG'OM
13,62,THARAKA
14,63,MANYATTA
14,64,RUNYENJES
14,65,MBEERE SOUTH
14,66,MBEERE NORTH
15,67,MWINGI NORTH
15,68,MWINGI WEST
15,69,MWINGI CENTRAL
15,70,KITUI WEST
15,71,KITUI RURAL
15,72,KITUI CENTRAL
15,73,KITUI EAST
15,74,KITUI SOUTH
16,75,MASINGA
16,76,YATTA
16,77,KANGUNDO
16,78,MATUNGULU
16,79,KATHIANI
16,80,MAVOKO
16,81,MACHAKOS TOWN
16,82,MWALA
17,83,MBOONI
17,84,KILOME
