constituency_code,ward_code,ward_name
1,0001,PORT REITZ
1,0002,KIPEVU
1,0003,AIRPORT
1,0004,CHANGAMWE
1,0005,CHAANI
2,0006,JOMVU KUU
2,0007,MIRITINI
2,0008,MIKINDANI
3,0009,MJAMBERE
3,0010,JUNDA
3,0011,BAMBURI
3,0012,MWAKIRUNGE
3,0013,MTOPANGA
3,0014,MAGOGONI
3,0015,SHANZU
4,0016,FRERE TOWN
4,0017,ZIWA LA NG'OMBE
4,0018,MKOMANI
4,0019,KONGOWEA
4,0020,KADZANDANI
5,0021,MTONGWE
5,0022,SHIKA ADABU
5,0023,BOFU
5,0024,LIKONI
5,0025,TIMBWANI
6,0026,MJI WA KALE/MAKADARA
6,0027,TUDOR
6,0028,TONONOKA
6,0029,SHIMANZI/GANJONI
6,0030,MAJENGO
7,0031,GOMBATOBONGWE
7,0032,UKUNDA
7,0033,KINONDO
7,0034,RAMISI
8,0035,PONGWEKIKONENI
8,0036,DZOMBO
8,0037,MWERENI
8,0038,VANGA
9,0039,TSIMBA GOLINI
9,0040,WAA
9,0041,TIWI
9,0042,KUBO SOUTH
9,0043,MKONGANI
10,0044,NADAVAYA
10,0045,PUMA
10,0046,KINANGO
10,0047,MACKINNON-ROAD
10,0048,CHENGONI/SAMBURU
10,0049,MWAVUMBO
10,0050,KASEMENI
11,0051,TEZO
11,0052,SOKONI
11,0053,KIBARANI
11,0054,DABASO
11,0055,MATSANGONI
11,0056,WATAMU
11,0057,MNARANI
12,0058,JUNJU
12,0059,MWARAKAYA
12,0060,SHIMO LA TEWA
12,0061,CHASIMBA
12,0062,MTEPENI
13,0063,MARIAKANI
13,0064,KAYAFUNGO
13,0065,KALOLENI
13,0066,MWANAMWINGA
14,0067,MWAWESA
14,0068,RURUMA
14,0069,KAMBE/RIBE
14,0070,RABAI/KISURUTINI
15,0071,GANZE
15,0072,BAMBA
15,0073,JARIBUNI
15,0074,SOKOKE
16,0075,JILORE
16,0076,KAKUYUNI
16,0077,GANDA
16,0078,MALINDI TOWN
16,0079,SHELLA
17,0080,MARAFA
17,0081,MAGARINI
17,0082,GONGONI
17,0083,ADU
17,0084,GARASHI
17,0085,SABAKI
18,0086,KIPINI EAST
18,0087,GARSEN SOUTH
18,0088,KIPINI WEST
18,0089,GARSEN CENTRAL
18,0090,GARSEN WEST
18,0091,GARSEN NORTH
19,0092,KINAKOMBA
19,0093,MIKINDUNI
19,0094,CHEWANI
19,0095,WAYU
20,0096,CHEWELE
20,0097,BURA
20,0098,BANGALE
20,0099,SALA
20,0100,MADOGO
21,0101,FAZA
21,0102,KIUNGA
21,0103,BASUBA
22,0104,SHELLA
22,0105,MKOMANI
22,0106,HINDI
22,0107,MKUNUMBI
22,0108,HONGWE
22,0109,WITU
22,0110,BAHARI
23,0111,CHALA
23,0112,MAHOO
23,0113,BOMENI
23,0114,MBOGHONI
23,0115,MATA
24,0116,WUNDANYI/MBALE
24,0117,WERUGHA
24,0118,WUMINGU/KISHUSHE
24,0119,MWANDA/MGANGE
25,0120,RONG'E
25,0121,MWATATE
25,0122,BURA
25,0123,CHAWIA
25,0124,WUSI/KISHAMBA
26,0125,MBOLOLO
26,0126,SAGALLA
26,0127,KALOLENI
26,0128,MARUNGU
26,0129,KASIGAU
26,0130,NGOLIA
27,0131,WABERI
27,0132,GALBET
27,0133,TOWNSHIP
27,0134,IFTIN
28,0135,BALAMBALA
28,0136,DANYERE
28,0137,JARA JARA
28,0138,SAKA
28,0139,SANKURI
29,0140,MODOGASHE
29,0141,BENANE
29,0142,GOREALE
29,0143,MAALIMIN
29,0144,SABENA
29,0145,BARAKI
30,0146,DERTU
30,0147,DADAAB
30,0148,LABASIGALE
30,0149,DAMAJALE
30,0150,LIBOI
30,0151,ABAKAILE
31,0152,BURA
31,0153,DEKAHARIA
31,0154,JARAJILA
31,0155,FAFI
31,0156,NANIGHI
32,0157,HULUGHO
32,0158,SANGAILU
32,0159,IJARA
32,0160,MASALANI
33,0161,GURAR
33,0162,BUTE
33,0163,KORONDILE
33,0164,MALKAGUFU
33,0165,BATALU
33,0166,DANABA
33,0167,GODOMA
34,0168,WAGBERI
34,0169,TOWNSHIP
34,0170,BARWAGO
34,0171,KHOROF/HARAR
35,0172,ELBEN
35,0173,SARMAN
35,0174,TARBAJ
35,0175,WARGADUD
36,0176,ARBAJAHAN
36,0177,HADADO/ATHIBOHOL
36,0178,ADEMASAJIDE
36,0179,WAGALLA/GANYURE
37,0180,ELDAS
37,0181,DELLA
37,0182,LAKOLEY SOUTH/BASIR
37,0183,ELNUR/TULA TULA
38,0184,BENANE
38,0185,BURDER
38,0186,DADAJA BULLA
38,0187,HABASSWEIN
38,0188,LAGBOGHOL SOUTH
38,0189,IBRAHIM URE
38,0190,DIIF
39,0191,TAKABA SOUTH
39,0192,TAKABA
39,0193,LAG SURE
39,0194,DANDU
39,0195,GITHER
40,0196,BANISSA
40,0197,DERKHALE
40,0198,GUBA
40,0199,MALKAMARI
40,0200,KILIWEHIRI
41,0201,ASHABITO
41,0202,GUTICHA
41,0203,MOROTHILE
41,0204,RHAMU
41,0205,RHAMU-DIMTU
42,0206,WARGUDUD
42,0207,KUTULO
42,0208,ELWAK SOUTH
42,0209,ELWAK NORTH
42,0210,SHIMBIR FATUMA
43,0211,ARABIA
43,0212,BULLA MPYA
43,0213,KHALALIO
43,0214,NEBOI
43,0215,TOWNSHIP
44,0216,LIBEHIA
44,0217,FINO
44,0218,LAFEY
44,0219,WARANKARA
44,0220,ALUNGO GOF
45,0221,BUTIYE
45,0222,SOLOLO
45,0223,HEILU-MANYATTA
45,0224,GOLBO
45,0225,MOYALE TOWNSHIP
45,0226,URAN
45,0227,OBBU
46,0228,ILLERET
46,0229,NORTH HORR
46,0230,DUKANA
46,0231,MAIKONA
46,0232,TURBI
47,0233,SAGANTE/JALDESA
47,0234,KARARE
47,0235,MARSABIT CENTRAL
48,0236,LOIYANGALANI
48,0237,KARGI/SOUTH HORR
48,0238,KORR/NGURUNIT
48,0239,LOG LOGO
48,0240,LAISAMIS
49,0241,WABERA
49,0242,BULLA PESA
49,0243,CHARI
49,0244,CHERAB
49,0245,NGARE MARA
49,0246,BURAT
49,0247,OLDONYIRO
50,0248,GARBATULLA
50,0249,KINNA
50,0250,SERICHO
51,0251,MAUA
51,0252,KIEGOI/ANTUBOCHIU
51,0253,ATHIRU GAITI
51,0254,AKACHIU
51,0255,KANUNI
52,0256,AKIRANG'ONDU
52,0257,ATHIRU RUUJINE
52,0258,IGEMBE EAST
52,0259,NJIA
52,0260,KANGETA
53,0261,ANTUAMBUI
53,0262,NTUNENE
53,0263,ANTUBETWE KIONGO
53,0264,NAATHU
53,0265,AMWATHI
